user,location,text
CarlosF48327173,,"#CadenaDeAfectosPorPetro 
#CadenaDeAfectosPorPetro 
Nuestro verdadero Presidente. El unico capaz de salvar este Pais. @petrogustavo"
JosArri68116342,Colombia,#CadenaDeAfectosPorPetro ahora esta mas vivo que nunca
dinastiaflorez1,,"#CadenaDeAfectosPorPetro

Mejor

#CadenaDeAfectosPorPacientesCov19"
SQuinche95,Bogotá,"#CadenaDeAfectosPorPetro Por su pronta recuperación, hasta la victoria."
Gabogilg,,Fuerza Gustavo 💪🏻#CadenaDeAfectosPorPetro
lupachoguerra,,Adelante en la recuperación @petrogustavo toda la energía positiva #CadenaDeAfectosPorPetro https://t.co/HQ5Q7wjXD1
VickyCordoba15,,"Doy gracias  a Dios, por que todo fue un éxito. 
Tenga fe en nuestro señor Jesús cristo que todo le va a salir bien.  q#CadenaDeAfectosPorPetro"
NatMrRam,,#CadenaDeAfectosPorPetro Colombia te necesita. Eres la voz de los que han callado y tienes las ideas para un cambio positivo en este colectivo inconsciente. Mucha salud y pronta recuperación. @petrogustavo
DazaAlfredo,Bolívar Cauca Colombia,Lo mínimo que podemos hacer por quién generosamente ha puesto al servicio de la gente su valor e inteligencia es unirnos en una gran #CadenaDeAfectosPorPetro
pizzeriapanucci,Colombia,"#CadenaDeAfectosPorPetro también más afecto por los enfermos de cáncer desconocidos, Anónimos que están en sus casas,  clínicas, eps, etc. No sólo famosos."
gaabybe,"Asuncion, Paraguay","Este es el único que puede viajar en avión privado a cuba a que lo operen, que bien hubiera el podido tener esa humanidad cuando secuestraba gente en el M19  #CadenaDeAfectosPorPetro"
LUZDAROCA,Bogotá - Colombia,"#CadenaDeAfectosPorPetro Petro el papa Francisco  ayer dijo ""tenemos derecho a la esperanza"" tu haces parte de nuestro derecho a la esperanza de un mañana mejor para nuestra Colombia 🇨🇴 te necesitamos. Continua en esta lucha ahora por tu salud @petrogustavo  @HOLLMANMORRIS"
dinadurango,,"Ofreceré mis oraciones pidiendo al Médico de Médicos por la salud de Petro, aun sabiendo que es ateo y q no ofrecen cadena de oración sino #CadenaDeAfectosPorPetro"
chemabernal,,"La endoscopia que le hicieron a Petro se demoró 25 días porque estaba esperando que saliera la remisión de la EPS a la clínica Cubana. 

Maldita ley 100 !!! 

#NoPasarán #CadenaDeAfectosPorPetro"
RizzoPiza,"Coral Gables, FL",#CadenaDeAfectosPorPetro que se recupere pronto ❤️ https://t.co/xmB987JHUb
chernandez12345,,#CadenaDeAfectosPorPetro todo saldra bien petro vencerA👏👏👏👏💪
freecolombia2,,"@NoticiasCaracol Mañana a la 130 pm sale @GustavoBolivar diciendo que  @petrogustavo solo tenía una carraspera en la garganta y que gracias a la #CadenaDeAfectosPorPetro el país a sido salvo.
#nolecreoapetro #petromentiroso #LoUltimo"
Luz10696076,,Dios lo bendiga y lo proteja para que pueda estar con nosotros mucho tiempo #CadenaDeAfectosPorPetro
HarolNieto,"Bogotá, D.C., Colombia","Pregunta güevona: La @FSFB_Salud se unirá a #CadenaDeAfectosPorPetro sacando un comunicado pidiendo disculpas públicas por audio q sacó un supuesto médico (quien debería ser destituido por falta d ética) d esa institución y hoy quedó desmentido? #PregúnteleAlEmbajador
#FelizLunes https://t.co/qHjNnYh6fU"
CentroPlazarte,"Medellín, Colombia","Gracias por darnos respeto y dignidad, contra todo este pueblo sabe la verdad, unos pocos fanaticos se niegan a ver,  cegados por su dinero y religion falsa, todo es teatron #CadenaDeAfectosPorPetro #PandemiaEconomica https://t.co/IsFvNOdR8y"
ELVIKO15,En La Conchinchina,#CadenaDeAfectosPorPetro por que ya lo andan buscando jajaja jueputa @GustavoBolivar https://t.co/IRMMPUlWRD
danidanilo2901,"Fusagasugá, Colombia","Adelante Petro, Fuerza Petro #CadenaDeAfectosPorPetro"
DonJoker2020,En cualquier lugar del mundo🌍,@angelamrobledo @gustavopetro Doctora Ángela esta es la cuenta oficial del Dr. @petrogustavo esperamos su pronta recuperación 👍 #CadenaDeAfectosPorPetro Petro President 🇨🇴👍 @GustavoBolivar @HOLLMANMORRIS @ColombiaHumana @elespectador @NoticiasCaracol @NoticiasRCN @WRadioColombia @opsoms @CIDH @nicolaspetroB
kamus7_,,"#CadenaDeAfectosPorPetro petro usted es el 🔟 de Colombia, vamos economista!!!!!! 💪"
fabian_esguerra,,"Lo humanamente correcto, es exigir el cese de las sanciones de todo tipo a Cuba Solidaria. #CadenaDeAfectosPorPetro #FuerzaPetro https://t.co/5CAvrRW6NF"
eduferva,,Buena noticia la terminación sin complicaciones del procedimiento médico - quirúrgico . Esperar ahora otra buena noticia con la  histología. 🙏   #CadenaDeAfectosPorPetro
SownCharlie,,"#CadenaDeAfectosPorPetro  obvio , nuestro presidente legitimo...vamos petrico  ."
XQCALLAR2,,Dios lo protege #CadenaDeAfectosPorPetro
cristinabedoya1,COLOMBIA,"#CadenaDeAfectosPorPetro buena salud, paz y amor @petrogustavo"
antoniovelgomez,Bogotá Colombia,Porque es el referente de la oposición en el país. #CadenaDeAfectosPorPetro
CoHumanaLondres,"London, England",#FuerzaPetroEstamosContigo #CadenaDeAfectosPorPetro Las leyes del universo están contigo @petrogustavo tienes una gran misión por terminar! Todas nuestras plegarias para una pronta recuperación y regreso a Colombia. @HOLLMANMORRIS @GustavoBolivar @MirtaOFil @elespectador https://t.co/FZLQ30ecVJ
mariumega,Colombia,#CadenaDeAfectosPorPetro me alegra de corazón que todo haya salido bien!!! Dios está con él!!!
ducegor,,Mis mejores deseos y oraciones por la sanación  de nuestro futuro presidente #CadenaDeAfectosPorPetro
mvallejo0213,"Miami, FL",#FuerzaPetro descansa y deja que tu cuerpo sane tu #CadenaDeAfectosPorPetro se esta encargando con gran fuerza y amor patrio a representarte https://t.co/ere3jGJztH
Claudia42091016,,#CadenaDeAfectosPorPetro adelante senador Colombia lo espera y lo necesita
mglotg,"Bucaramanga, Colombia",De esta salimos senador Petro #CadenaDeAfectosPorPetro
Lucylunaquin,Ocaña,"@angelamrobledo @gustavopetro Fuerza Petro, eres un valiente y te queremos #CadenaDeAfectosPorPetro"
Antimamertoides,"Bogotá, D.C., Colombia",#CadenaDeAfectosPorPetro que se fue a cuba para que le hiciera la endoscopia.... https://t.co/0kw1lnqBUb
LuisRam49056774,,Le deseo que dios lo proteja sr petro.#CadenaDeAfectosPorPetro
margaritabuitra,colombia,"@GustavoBolivar Gracias por la información Gustavo. Seguimos pendientes. Lo que importa es la salud de Petro. Los demás que piensen y digan lo que quieran.
#CadenaDeAfectosPorPetro"
angelamrobledo,Colombia,Me alegra saber que @GustavoPetro salio bien de su intervencion quirurgica hoy en Cuba.Ahora a esperar un resultado esperanzador #CadenaDeAfectosPorPetro !
CentroPlazarte,"Medellín, Colombia","Reivindicar la libertad, el pensamiento, el deseo de justicia y la busqueda de la verdad, el pensamiento critico y positivo, la alegria, ser humanos y no perros amarrados de un eterno orden mundial británico!! #CadenaDeAfectosPorPetro https://t.co/FTUGM1V39A"
TrujilloRosana,"Medellín, Colombia",#CadenaDeAfectosPorPetro #PetroEstamosContigo #ColombiaHumana. Te amamos. https://t.co/OpxUChHlPT
alfonsofn20,"Cali, Colombia",#CadenaDeAfectosPorPetro Dios quiera que pronto se recupere.🙏
hramirezvill,"Cartagena, Colombia",#CadenaDeAfectosPorPetro recuperación pronta líder
JohnAlbertGome3,el salto,"Petro invencible, Petro imprescindible, Petro, los obreros y campesinos estamos contigo PRESENTES PRESENTES PRESENTES #CadenaDeAfectosPorPetro"
ElReyDelAntro,"Cupertino, CA","#CadenaDeAfectosPorPetro
¿Si vieron? 
@patriciajaniot exigiéndole los  resultados de las biopsias a @petrogustavo, ¡Ah! Pero jamás mencionó ni por delicadeza periodística los resultados del cultivo microbiológico de la Gonorrea de Uribe.

🤦‍♂️🇨🇴🏴‍☠️"
1calzas,,"Gracias Senador!! Así se comporta un buen amigo y una persona transparente @GustavoBolivar @petrogustavo
#CadenaDeAfectosPorPetro #FuerzaPetro #FuerzaPetroEstamosContigo https://t.co/Q6jFa5jj6h"
Luzandr31722255,"Bogotá, D.C., Colombia","@Mafalda_2020_ @petrogustavo Me identifico totalmente contigo.
#CadenaDeAfectosPorPetro 
#CadenaDeAfectosPorPetro 
#CadenaDeAfectosPorPetro"
OGalvisC,Colombia,"Sr @petrogustavo, lo estámos esperando, tenemos éste y otros asuntos pendientes.
#FuerzaPetro
#FuerzaPetroEstamosContigo
#CadenaDeAfectosPorPetro https://t.co/gzN1ZZOEpY"
alexalara2000,,#CadenaDeAfectosPorPetro porque el AMOR ES MAS FUERTE Y SI SE PUEDE lo vamos a lograr y enviamos las mejores energías de afecto te rodeamos @GustavoPetro #FuerzaPetroEstamosContigo
AngelayYesid,"Medellín, Colombia","#CadenaDeAfectosPorPetro?
Mejor, #PetroMamaGallo!
Hagamoslo tendencia!
#PetroMamaGallo
Quiere evitar su muerte política? Pues no, y asegurado está!
#PetroMamaGallo #PetroMamaGallo
Por la verdadera dignidad de Colombia! #PetroMamaGallo
Es el cáncer de la nación!"
OGalvisC,Colombia,"Es ud muy importante para cada Colombiano, de cualquier manera se preocupan por su salud.
#FuerzaPetro
#FuerzaPetroEstamosContigo
#CadenaDeAfectosPorPetro https://t.co/niOY1TkWbt"
alexalara2000,,"@nicolaspetroB @nicolaspetroB ánimo a palabras necias oídos sordos, somos mas los que buscamos la paz, la justicia, el amor. Ánimo cocentremos nuestra energía en mandar amor a Petro a Colombia y al mundo :) #CadenaDeAfectosPorPetro #FuerzaPetroEstamosContigo"
Andreiiyk,"Funza, Colombia","Yo espero que recuperación ver @petrogustavo tras su cirugía sea para bien y que pronto logré recuperarse.
#CadenaDeAfectosPorPetro
Senador, todo estará bien."
JaimeAlbertoGo3,,"Muchas dudas y desinformación propia de la izquierda, de no ser cierto a Petro debe responder política y legalmente  #CadenaDeAfectosPorPetro"
1010_ospina,"Bogotá, DC, Colombia","#CadenaDeAfectosPorPetro por que lo necesitamos y es nuestra ilusión de cambio, espero que tod esté saliendo bien, un abrazo profundo y sincero"
TrujilloRosana,"Medellín, Colombia",#CadenaDeAfectosPorPetro y vuelva  a desempeñar lo arrebatado; lo necesitamos bien ahora y siempre. https://t.co/YW7XpdxhS6
CarmenHRD63,Colombia,"#CadenaDeAfectosPorPetro
Muy feliz porque @petrogustavo  salio con exito de su intervención quirurgica. 
Para los que reparten buena energía un aplauso venga de donde venga.  Para la maldad NADA.  https://t.co/y36w23y4xc"
fabianmoreno221,"Ciudad Autónoma de Buenos Aires, Argentina","#CadenaDeAfectosPorPetro
Fuerza presidente..."
Ferherr84563939,Colombia Narco _Estado,"#CadenaDeAfectosPorPetro
Afectados por @petrogustavo . https://t.co/KbJ2ryb2gc"
juliomario55555,,"En unos días sabremos los resultados,  ya está dado el primer paso, Petro recibe toda las energias positivas el cariño y las oraciones de tu pueblo! #CadenaDeAfectosPorPetro"
CoHumanaLondres,"London, England",#CadenaDeAfectosPorPetro Gustavo Petro pone a palpitar millones de corazones alrededor del mundo! Nuestros mejores deseos de salud y pronta recuperación desde el Nodo Colombia Humana en Londres! @petrogustavo @GustavoBolivar @HOLLMANMORRIS @MirtaOFil @RichardKuintako https://t.co/8reImAusFZ
FabianGranada,colombia,#CadenaDeAfectosPorPetro saldremos de esta @petrogustavo
carmencastano53,,"Gloria a ti Señor Jesus🙏❤️
#CadenaDeAfectosPorPetro 🙏 https://t.co/pmIETko6FA"
politicadelamor,Colombia,Necesitamos tu liderazgo y lucha contra la corrupción en la @ColombiaHumana_  #fuerzapetro #CadenaDeAfectosPorPetro
amazuera79,,@petrogustavo es un hombre que necesita la democracia colombiana y su voz es clave para la transformación de esta patria feudal .  #CadenaDeAfectosPorPetro
Yeraldi44919619,,@AlixCano4 #CadenaDeAfectosPorPetro  petro estamos contigo  fuerza 💪
VanegasAlberto,,La vida social y política es un escenario para la realización de la solidaridad.Fuerza PETRO esperamos y deseamos su pronta recuperación para seguir entre todos construyendo el sueño de un país democrático.#CadenaDeAfectosPorPetro https://t.co/ySDShjxMbj
AdAstra4643,"Medellín, Colombia","La Clínica Santa Fe quería matar a Petro. No es la primera vez que recibe malos tratos ahí. Pretendían que el resultado le salga negativo para que se quede tranquilo y el cáncer avance, ¡querían engañarlo!.  #CadenaDeAfectosPorPetro"
HumbertoGaliano,"Barranquilla, Atlántico",@ANIABELLO_R @inporcol En vez de “#CadenaDeAfectosPorPetro” me imagino cómo sería de gigantesca la “#CadenadeafectadosporPetro” ?
xiomaraeacosta,Canadá,@nicolaspetroB #CadenaDeAfectosPorPetro fuerza valiente está es una batalla que ganarás Colombia Humana y demás simpatizantes estamos en cadena de oración. Pronta recuperación eres el líder que necesitamos 🙏
CoHumanaLondres,"London, England","@DiegoFigueroaVa #CadenaDeAfectosPorPetro #FuerzaPetroEstamosContigo Desde Concepción, Colombia Humana en Chile envía un fuerte abrazo al senador @petrogustavo vives en millones de corazones alrededor del mundo! Pronta recuperación! @HOLLMANMORRIS @GustavoBolivar @gener_usuga https://t.co/nIoo4eu8Ob"
progresistaporE,"Manhattan, NY","#CadenaDeAfectosPorPetro
Gracias petro por todo y aun muchas mas gracias por lo que vas a seguir haciendo para que colombia cambie"
Bryan29516484,,Me uno #CadenaDeAfectosPorPetro https://t.co/XG9vanWhQE
Tiendaeco_j,"Medellín, Colombia",Ufff esta señora ya fue a la otra dimensión y regresó jajaaaa #CadenaDeAfectosPorPetro https://t.co/bScO649J3n
NonServium7,,#CadenaDeAfectosPorPetro fuerza al dirigente  y hombre valeroso. Saldrá  victorioso.
reformista_lib,"Bogotá, D.C., Colombia","Petro apoya tanto a nuestros médicos que se fue a practicar una endoscopia en Cuba y no en Colombia 

#CadenaDeAfectosPorPetro #cuidarnuestrosmedicoses"
marthaperaltae,Colombia,"#CadenaDeAfectosPorPetro 
¡Fuerza, Fuerza! .@petrogustavo https://t.co/Vpr2CmxefV"
jotarsanchez,Colombia,"Cadena de Defectos más bien.
#CadenaDeAfectosPorPetro"
DiegoFigueroaVa,Actualmente Concepción (Chile),"Gracias Hollman Morris @HOLLMANMORRIS  por este espacio noticioso. La voz de los que no tienen voz, eso me gusta mucho. Un abrazo para nuestro amigo @petrogustavo a través de este medio.

#FuerzaPetro 
#FuerzaPetroEstamosContigo 
#CadenaDeAfectosPorPetro https://t.co/7vV6axPVuS"
aurocar26,,"Apoyo total, todo saldrá bien.#CadenaDeAfectosPorPetro"
Javlo99,"Cape Coral, FL","Hay petro para rato!!!
#CadenaDeAfectosPorPetro #PetroEstamosContigo https://t.co/A7groaJSCE"
elGrafomano,"Bogotá, D.C. Colombia.",Me uno a la #CadenaDeAfectosPorPetro. Colombia lo necesita.
jefbanguera,Bello,"@patriciajaniot @petrogustavo La salud de un primer ministro o un presidente es un asunto público, la de un senador no, pues pertenece a un órgano colegiado en el cual no es indispensable para la toma de decisiones. #CadenaDeAfectosPorPetro"
Andreslp19,"Bucaramanga, Colombia","#LaLlaveDeLaNación es una Corrupta Base de Datos usada desde q se creó la Constitución del 91 para robarse  Elecciones desde siempre, junto al dinero del pueblo por medio de subsidios y deudas falsas.

#CadenaDeAfectosPorPetro 
#FelizLunes 
#cuidarnuestrosmedicoses #LaLey100Es https://t.co/lPwkarLdBJ"
CoHumanaLondres,"London, England","#CadenaDeAfectosPorPetro #FuerzaPetroEstamosContigo Colombia Humana Orlando - Florida, nuestros pensamientos, buena energía y mejores deseos están con @petrogustavo para que te recuperes pronto después de esta cirugía. Petro, tu nos representas!
@HOLLMANMORRIS @GustavoBolivar https://t.co/3PtUzCsTdv"
DavidDuarte13,Cúcuta Colombia,"#CadenaDeAfectosPorPetro @petrogustavo representa a más de 8 millones de colombianos que queremos dar una vuelta a todo esto, representa la piedra en el zapato para la corrupción del gobierno y representa una revolución cansada de lo mismo. Ojalá salga de esta y pueda continuar! https://t.co/7zQysxg9qK"
bernalisima,Bogotá,"Gustavo Petro: Te envío la mejor energía. Eres fuerte, has aprendido mucho, ahora sabrás cuidarte y seguro estás rodeado de personas que te cuidarán. No pienses en nosotros, date un tiempo, ahora ¡TÚ eres lo importante!
@petrogustavo   #CadenaDeAfectosPorPetro"
CafelunRodrigo,,"#CadenaDeAfectosPorPetro Gustavo has librado muy duras batallas, eres un guerrero!!te sobrepondrás a esta nueva prueba “Nadie se va a morir, menos ahora” FUERZA!!!"
JohnGermnMendo1,,#CadenaDeAfectosPorPetro que se mejore pronto petro. Colombia lo nesecitas
E_Mendoza_M,Valledupar - Colombia,"#CadenaDeAfectosPorPetro

P E T R O  REGRESA PRONTO
C   O   L   O   M   B   I   A  
TE   E S P E R A."
FelipePinedaRio,"Antioquia, Colombia","#CadenaDeAfectosPorPetro y yo empiezo mi oración por él:

Dale señor el descanso eterno, y brille para @petrogustavo la luz perpetua..."
jhonwnr,Bogotá,"Gustavo Petro, le deseo una recuperación pronta y óptima, le envío las mejores vibraciones a usted y a su familia. Este país lo necesita más que nunca. #CadenaDeAfectosPorPetro"
CGutiBarriga,"Villavicencio, Colombia","#CadenaDeAfectosPorPetro por su salud, y que pronto lo podamos tener de nuevo en el frente de batalla, como lo ha hecho cada día de su vida.
@petrogustavo Vamos que te esperamos en el 2022"
Ethelzeta,"América, Colombia, Medellín","///SOMOS SOLIDARIOS CON @petrogustavo Y DESDE ESTE ENCERRAMIENTO QUE ME COGIÓ EN BOGOTÁ, LE ENVIAMOS UN MENSAJE EN ÉSTA #CadenaDeAfectosPorPetro https://t.co/Z6MKnPeRju"
herrechechy,Colombia,"#CadenaDeAfectosPorPetro es de saber que estos mensajes jamás los leen pero eso no me impide exponer mi gran aprecio y agradecimiento por todo lo que usted a hecho por mí país. Estoy muy alegre se saber que TODO salió bien respecto a tu salud. Te amamos Petro, pero más tus ideas"
OtaloraMiguel,,#CadenaDeAfectosPorPetro todo va a salir bien https://t.co/J2VWCPIYQA
GGuchuvo,Bogota,"Desde lo más profundo de mi 💜 le envío un msj de infinito amor con mucha energía... 
No hay puerta que no abra el suficiente amor... Fuerza💪 Fuerza💪CAMPEÓN Una batalla más de la que saldrás victorioso. 👍💜🙋

#CadenaDeAfectosPorPetro"
PMurillopereira,"Medellín, Colombia#","@nicolaspetroB ya la estupidez pide registros médicos para corroborar su veracidad---indolentes .. 
#CadenaDeAfectosPorPetro 🙏"
Cristin70841380,,"Gracias a Dios salió bien la operación del Senador Gustavo Petro.
#PetroEstamosContigo
#CadenaDeAfectosPorPetro"
espirituesencia,,"Nos tocó lichar en  país de las Dificultades, d Muerte, Corrupción, d mucha bajeza ontológica; pero por ello RECOTñRDEMOS q Estamos Construyendo Colombia Humana ya  #CadenaDeAfectosPorPetro #FuerzaPetro  #PetroEstamosContigo   Amando,VenSeremos https://t.co/2HhtileEVe"
Nixson24917997,,#CadenaDeAfectosPorPetro . La ironía de la vida los malos son los héroes y los buenos son la burla. Espero pronto recuperación @petrogustavo  le a faltado combinar el país . Mil gracias por su discurso.
_miurc_,Bogotá ,Para reflexionar #CadenaDeAfectosPorPetro https://t.co/idBzakOMzY
BTereresa,,"#CadenaDeAfectosPorPetro este confiado en Que Él Sr Dios, Que El lo sacará victorioso.
En Jeremías 29:13 y me buscareis y me hallaréis, porque me buscareis de de todo vuestro corazón"
noticiascmm,"Barranquilla, Colombia",Cirugía realizada a @petrogustavo fue un éxito: Nicolás Petro #CadenaDeAfectosPorPetro https://t.co/H5rN768wOw
Laura26013672,,"Sí yo salí bien librada de la muerte por tener un gran propósito, por supuesto que tú lo harás también. Jesús yo confío en Tí fue mi mantra Ánimo. #cadenadeafectosporPetro"
Alfredoboita1,,"@patriciajaniot @petrogustavo @GustavoBolivar Señora @patriciajaniot en aras de la transparencia nos podía mostrar su examen de ginecóloga para ver si tiene flujo o alguna enfermedad de transmicion sexual, seria de mucho interés para el país #CadenaDeAfectosPorPetro #FelizLunes"
Lucas89777309,,"Creo que el inhumano Antonio Paccini tbien debería ir ante las autoridades a demostrar todas las pruebas contra  @petrogustavo y su salud, así cómo el invita a @EpicuroDeSamos_ a qué lo haga.
#GobiernoCriminal 
#NoMasLey100 
#NoMasLey100 
#CadenaDeAfectosPorPetro https://t.co/wuCgPKl96Q"
javipasto407,,"#CadenaDeAfectosPorPetro Claro, desde Pasto, estamos por su recuperación y vuelta al ""ruedo"", para bien de quienes creemos en una Colombia justa, para mal de un grupo de miserables que tienen vuelto mierda el país."
Bodegon18,En permanente tránsito,@HOLLMANMORRIS @petrogustavo #cadenadeafectosporpetro por la paz con justicia social
escorpion111969,,"Y la cirugía fue en Cuba? Porque será que ningún político ni de izquierda kinder derecha le cree a los médicos en Colombia? O mejor, no le cree a las instituciones médicas? Será porque saben lo que ellos se roban de ese rubro? #CadenaDeAfectosPorPetro @WRadioColombia @BluRadioCo"
ArlizonP,,"Con la ayuda del altísimo tendrás pontra recuperación para seguir batallando con nosotros, en las marchas por un mejor país
#CadenaDeAfectosPorPetro"
dragonnegro2395,El Averno,"Les brindamos salud, energía, fortaleza, al líder de la Colombia Humana, se va a recuperar y volverá más fuerte que nunca.

Es todo lo que tengo que decir.

#CadenaDeAfectosPorPetro"
AlbandreaC,colombia,#CadenaDeAfectosPorPetro Gracias por encarnar un poco de esperanza en este país tan corrompido por gente mala!!! #FuerzaPetro @petrogustavo esta es una batalla pequeña para un guerrero tan grande!!
ZixZor,Latinoamérica...,"#CadenaDeAfectosPorPetro Gustavo ten mucha fuerza. Nosotros, los colombianos, hoy más que nunca vemos que el cambio es posible. Te necesitamos. Lucha querido amigo de Colombia. Todos estamos contigo, te queremos mucho."
ElMemoFichas,,"#FuerzaPetro
#CadenaDeAfectosPorPetro
Te necesitamos Petro, mejorate y que abunde la buena Salud en ti"
fredyhcar,,Patéticos 🤣🤣🤣#CadenaDeAfectosPorPetro
jamapebo,bogota,"#CadenaDeAfectosPorPetro eres un luchador aguerrido, las dificultades te hacen más fuerte. Fuerza estimado Gustavo petro"
AlfredoCOES99,,Me sumo a la #CadenaDeAfectosPorPetro
canariosAMERICA,,"Vamos Gustavo Francisco fuerza contigo, la misma o mayor aa que muestras por la defensa de la Patria #CadenaDeAfectosPorPetro"
Alexandermuiska,Colombia,#CadenaDeAfectosPorPetro ¡Ánimo! que sos la moral de este pueblo abatido y masacrado.
manny_vanegas,BOGOTÁ,Dios nos ha dado una excelente noticia hoy.#CadenaDeAfectosPorPetro
humbertod10,Colombia,"#CadenaDeAfectosPorPetro le fuè bien con la endoscopia de hoy a Petro, suerte al senador."
escorpion111969,,#CadenaDeAfectosPorPetro SIN PALABRAS....Y ME ATRAGANTE PARA GUARDAR SILENCIO Y NO HERIR SUSCEPTIBILIDADES https://t.co/3e8C29icnq
mistermagu72,"Bogotá, D.C., Colombia","#CadenaDeAfectosPorPetro desde Bogotá, haciendo fuerza y enviando la mejor energía para @petrogustavo."
OBRERO1986,"Bogotá, D.C., Colombia",Colombia #CadenaDeAfectosPorPetro los medios de comunicación que apoyo en la #BogotáHumana enviando mucha fuerza y aguante por la vida. https://t.co/02INVlht7k
mayusamartinez,"Pereira, Colombia","#cadenadeafectosporPetro todos contigo, todos con la esperanza de un porvenir lleno de amor con tu presencia y gobernanza Presidente!"
TELMAGONZALEZ8,"MONTELIBANO,CORDOBA,COLOMBIA","#CadenaDeAfectosPorPetro Que mi Dios Todopoderoso lo bendiga siempre y lo libre de todo mal y lo aleje de todo peligro, que lo sane y recupere rápido."
DSOTELOZ,,#CadenaDeAfectosPorPetro el próximo presidente de Colombia 🇨🇴 un abrazo gigante
andresburbanob,,"Vas a estar bien, Valiente #CadenaDeAfectosPorPetro https://t.co/70ObksO0xk"
FRANCIAEPOLANCO,"Medellín, Antioquia, Colombia",#CadenaDeAfectosPorPetro ¡PETRO: LA HONRA DE COLOMBIA!
Nelida47,Bogota ,#cadenadeafectosporpetro a luchar por ti porque te necesitamos https://t.co/vXidVb6Ybw
Rafa_S_Granados,La Ruta Del Sol,#CadenaDeAfectosPorPetro Para que nunca mas regrese de Cuba. https://t.co/3BXOBhyZ2c
Rafa_S_Granados,La Ruta Del Sol,#CadenaDeAfectosPorPetro Creo que las gafas también deben estar infectadas. https://t.co/YyYkVerZFA
Andres043292279,,"#CadenaDeAfectosPorPetro el no es un hombre, es un pueblo."
Andres043292279,,#CadenaDeAfectosPorPetro un gran lider
Rios53Rios,POPAYAN,"#CadenaDeAfectosPorPetro . Involucran @EmbacubaCol .@FiscaliaCol @GustavoBolivar medio país pendiente si se salva .y todo por una sacadura de muela. Atención Univisión ,suspenso y misterio la próxima novela de Bolivar. https://t.co/5zbn2zrf5r"
ELITOREAL,Medellin - Colombia,"#CadenaDeAfectosPorPetro SALUD!! 
mi querido presidente @petrogustavo"
IncoherenciaCol,Colombia.,"Una persona que es capaz de inventarse un cáncer, solamente para salir bien librado de un error que cometio, es capaz de hacer cualquier cosa por el poder.
Eso es Petro, un Egolatra que busca atención.
#CadenaDeAfectosPorPetro"
jalcor1,"Medellín, Colombia",#CadenaDeAfectosPorPetro espero lo mejor!!
Vmellan5,,"#CadenaDeAfectosPorPetro

Fuerza Senador @petrogustavo, toda la Colombia Humana está contigo y te espera triunfante luego de este impase, para que nos dirijas próximamente como una nación prospera y libre.
Bendiciones. https://t.co/5ZAi3YKMYa"
Rafa_S_Granados,La Ruta Del Sol,#CadenaDeAfectosPorPetro Esta noticia si le va a dar cáncer de verdad. https://t.co/XlFUV7Uzks
RangPerez,Colombia,"#CadenaDeAfectosPorPetro me alegra sobremanera que el procedimiento qirugico a @petrogustavo haya salido bien.
Ahora esperar el exito de esta operación y su efectiva recuperación, así no sea pronta."
EdoBM17,,Afecto y mucho ánimo #CadenaDeAfectosPorPetro
teurgista,,Me inquieta saber qué es una convicción y cómo opera en la vida de alguien. Y Petro para mí es la personalización de una convicción profunda: con todas los vejaciones  vívidas durante más de 40 años sigue luchando inquebrantable. Que gran aprendizaje #CadenadeAfectosporPetro
Cesar78937871,,"#CadenaDeAfectosPorPetro
Fuerza senador @petrogustavo una batalla mas de la que saldra victorioso"
Lucas89777309,,"😱 ¿Tentativa de homicidio?
#LeCreoAPetro
#FuerzaPetroEstamosContigo 
#CadenaDeAfectosPorPetro 
Un médico es de plena confianza de los inhumanos del CD y le dice HDP a Petro es un peligro para cualquier paciente que no sea de su agrado 😭😭😭
@FiscaliaCol ésto es muy grave😭😭 https://t.co/H4dEyfSf0X"
vimagoma_S1,Azerbaiyán,Les recomiendo #ElPelitoSanador uno nunca sabe! #CadenaDeAfectosPorPetro
JackNic67203914,,Una multitud en Cuba en #CadenaDeAfectosPorPetro para verlo pasar en la ambulancia tras su intervención quirurgica! https://t.co/P9LZSH7E4Q
papayapartia,,"#CadenaDeAfectosPorPetro

Abrazo de apoyo a Gustavo Petro! Te apoyamos y deseamos que todo salga bien!"
hegot85,,"#CadenaDeAfectosPorPetro hoy salió bien de la cirugía. Los resultados, serán sin duda los mejores. #FuerzaPetroEstamosContigo"
cortiz11,"Miami, FL","Mensaje de solidaridad para el compañero @petrogustavo ✌🏼🥑🇨🇴

#CadenaDeAfectosPorPetro #FuerzaPetro #FuerzaGustavo #ColombiaHumana #ColombiaHumanaInternacional #MiamiHumana https://t.co/wNsqsR01NV"
juan83939671,,"#CadenaDeAfectosPorPetro, señor Gustavo Petro, esperado por una mejoría en su salud y una pronta recuperación."
espirituesencia,,"Si Parecido a COSCORRON Vargas Lleras, q le pega a quienes le ESCOLTAN y le dan Protección de su vida.. CAFRES , cual Tenebroso Sr dlas Sombras URIBEño cuyos Colaboradores aparecen MUERTOS #CadenaDeAfectosPorPetro 
#PetroEstamosContigo  #FuerzaPetro https://t.co/WblkU8NZQH"
